Transaction Date,Type,Order,Card Brand,Card Source,Payout Status,Payout Date,Available On,Amount,Fee,Net
2026-03-01 00:18:03,charge,#7364,visa,apple_pay,paid,2026-03-03,2026-03-03,157.00,2.60,154.40
2026-03-01 00:44:34,charge,#7366,visa,apple_pay,paid,2026-03-03,2026-03-03,173.00,2.84,170.16
2026-03-01 03:54:54,charge,#7371,master,online,paid,2026-03-03,2026-03-03,307.00,4.86,302.14
2026-03-01 06:30:55,refund,#5497,visa,online,paid,2026-03-03,2026-03-03,-34.20,0.00,-34.20
2026-03-01 08:08:13,charge,#7375,visa,apple_pay,paid,2026-03-03,2026-03-03,69.95,1.30,68.65
2026-03-01 08:46:27,charge,#7377,visa,online,paid,2026-03-03,2026-03-03,677.00,10.40,666.60
2026-03-01 09:05:06,charge,#7378,visa,online,paid,2026-03-03,2026-03-03,689.00,10.58,678.42
2026-03-01 09:13:43,charge,#7379,master,online,paid,2026-03-03,2026-03-03,217.00,3.50,213.50
2026-03-01 09:31:48,charge,#7381,master,apple_pay,paid,2026-03-03,2026-03-03,123.00,2.10,120.90
2026-03-01 09:59:20,charge,#7383,visa,apple_pay,paid,2026-03-03,2026-03-03,42.95,0.89,42.06
2026-03-01 10:16:12,charge,#7386,master,apple_pay,paid,2026-03-03,2026-03-03,99.00,1.74,97.26
2026-03-01 10:40:16,charge,#7388,master,online,paid,2026-03-03,2026-03-03,100.95,1.76,99.19
2026-03-01 11:00:31,charge,#7390,visa,online,paid,2026-03-03,2026-03-03,388.00,6.07,381.93
2026-03-01 11:11:42,charge,#7391,visa,online,paid,2026-03-03,2026-03-03,57.15,1.11,56.04
2026-03-01 11:14:09,charge,#7392,master,online,paid,2026-03-03,2026-03-03,105.95,1.84,104.11
2026-03-01 11:33:20,charge,#7395,american_express,online,paid,2026-03-03,2026-03-03,68.95,2.25,66.70
2026-03-01 12:16:40,refund,#7168,master,online,paid,2026-03-03,2026-03-03,-98.28,0.00,-98.28
2026-03-01 13:05:59,charge,#7401,master,online,paid,2026-03-03,2026-03-03,264.95,4.22,260.73
2026-03-01 14:04:06,charge,#7404,visa,google_pay,paid,2026-03-03,2026-03-03,109.00,1.88,107.12
2026-03-01 14:22:21,charge,#7405,master,online,paid,2026-03-03,2026-03-03,62.95,1.19,61.76
2026-03-01 14:30:59,charge,#7406,visa,online,paid,2026-03-03,2026-03-03,131.95,2.23,129.72
2026-03-01 14:33:52,charge,#7407,visa,online,paid,2026-03-03,2026-03-03,507.00,7.86,499.14
2026-03-01 15:00:32,charge,#7408,master,online,paid,2026-03-03,2026-03-03,23.95,0.61,23.34
2026-03-01 15:05:45,charge,#7409,visa,online,paid,2026-03-03,2026-03-03,128.00,2.17,125.83
2026-03-01 15:10:53,charge,#7410,master,online,paid,2026-03-03,2026-03-03,272.70,4.34,268.36
2026-03-01 15:14:06,charge,#7411,master,online,paid,2026-03-03,2026-03-03,61.95,1.18,60.77
2026-03-01 15:23:04,charge,#7414,visa,apple_pay,paid,2026-03-03,2026-03-03,53.95,1.06,52.89
2026-03-01 15:46:05,charge,#7420,master,online,paid,2026-03-03,2026-03-03,23.95,0.61,23.34
2026-03-01 15:50:15,charge,#7422,master,apple_pay,paid,2026-03-03,2026-03-03,193.00,3.14,189.86
2026-03-01 15:51:31,charge,#7423,visa,online,paid,2026-03-03,2026-03-03,29.95,0.70,29.25
2026-03-01 16:32:49,charge,#7427,master,apple_pay,paid,2026-03-03,2026-03-03,76.00,1.39,74.61
2026-03-01 17:12:30,refund,#6616,visa,online,paid,2026-03-03,2026-03-03,-237.15,0.00,-237.15
2026-03-01 17:45:20,charge,#7430,visa,apple_pay,paid,2026-03-03,2026-03-03,406.00,6.34,399.66
2026-03-01 17:54:20,charge,#7432,visa,online,paid,2026-03-03,2026-03-03,437.00,6.80,430.20
2026-03-01 17:54:50,charge,#7433,master,apple_pay,paid,2026-03-03,2026-03-03,874.00,13.36,860.64
2026-03-01 18:23:03,charge,#7436,master,apple_pay,paid,2026-03-03,2026-03-03,329.00,5.18,323.82
2026-03-01 18:25:54,refund,#5335,master,apple_pay,paid,2026-03-03,2026-03-03,-89.00,0.00,-89.00
2026-03-01 18:36:01,charge,#7438,master,online,paid,2026-03-03,2026-03-03,262.00,4.18,257.82
2026-03-01 19:00:42,charge,#7440,visa,online,paid,2026-03-03,2026-03-03,31.95,0.73,31.22
2026-03-01 19:09:13,charge,#7442,visa,google_pay,paid,2026-03-03,2026-03-03,119.00,2.04,116.96
2026-03-01 19:13:00,charge,#7445,visa,online,paid,2026-03-03,2026-03-03,102.00,1.78,100.22
2026-03-01 19:13:37,charge,#7446,visa,online,paid,2026-03-03,2026-03-03,427.00,6.66,420.34
2026-03-01 19:39:45,charge,#7449,master,online,paid,2026-03-03,2026-03-03,438.00,6.82,431.18
2026-03-01 19:43:49,charge,#7450,visa,online,paid,2026-03-03,2026-03-03,23.95,0.61,23.34
2026-03-01 20:05:59,charge,#7452,visa,online,paid,2026-03-03,2026-03-03,122.00,2.08,119.92
2026-03-01 20:16:20,charge,#7454,master,google_pay,paid,2026-03-03,2026-03-03,239.00,3.84,235.16
2026-03-01 20:21:30,charge,#7455,visa,online,paid,2026-03-03,2026-03-03,158.00,2.62,155.38
2026-03-01 20:21:55,charge,#7456,visa,online,paid,2026-03-03,2026-03-03,113.00,1.94,111.06
2026-03-01 20:33:38,charge,#7458,master,online,paid,2026-03-03,2026-03-03,23.95,0.61,23.34
