order_id,created_at,status,currency,total
SO-10947,2026-08-01 09:03,paid,EUR,326.41
SO-10377,2026-08-01 10:13,paid,EUR,391.34
SO-10401,2026-08-01 10:22,paid,EUR,375.96
SO-10882,2026-08-01 10:33,paid,EUR,271.53
SO-10511,2026-08-01 12:30,refunded,EUR,217.74
SO-10188,2026-08-01 13:18,paid,EUR,219.29
SO-10126,2026-08-01 13:33,refunded,EUR,478.16
SO-10183,2026-08-01 13:33,paid,EUR,469.96
SO-11010,2026-08-01 15:32,cancelled,EUR,253.47
SO-10692,2026-08-01 15:57,refunded,EUR,320.26
SO-10874,2026-08-01 16:04,paid,EUR,139.22
SO-10629,2026-08-01 16:28,paid,EUR,428.50
SO-10755,2026-08-01 16:43,paid,EUR,65.58
SO-10458,2026-08-01 17:48,paid,EUR,81.89
SO-10554,2026-08-01 17:57,paid,EUR,404.77
SO-11086,2026-08-01 17:58,refunded,EUR,266.70
SO-10787,2026-08-01 18:32,paid,EUR,201.79
SO-10999,2026-08-01 19:03,paid,EUR,133.70
SO-10101,2026-08-01 19:24,paid,EUR,325.45
SO-10427,2026-08-01 19:24,paid,EUR,252.46
SO-10721,2026-08-01 19:49,paid,EUR,399.36
SO-10051,2026-08-01 20:33,paid,EUR,349.37
SO-10896,2026-08-01 21:00,cancelled,EUR,149.44
SO-11194,2026-08-01 21:14,paid,EUR,127.44
SO-10349,2026-08-01 21:27,paid,EUR,415.24
SO-10208,2026-08-01 21:50,cancelled,EUR,464.23
SO-10536,2026-08-01 22:40,cancelled,EUR,232.10
SO-10579,2026-08-01 23:49,paid,EUR,321.88
SO-10465,2026-08-02 00:42,paid,EUR,97.78
SO-10627,2026-08-02 00:53,paid,EUR,22.22
SO-10453,2026-08-02 00:54,paid,EUR,466.73
SO-10959,2026-08-02 01:29,cancelled,EUR,277.96
SO-11151,2026-08-02 02:05,cancelled,EUR,262.04
SO-10650,2026-08-02 02:28,paid,EUR,362.22
SO-10939,2026-08-02 04:15,paid,EUR,380.13
SO-10067,2026-08-02 06:01,paid,EUR,333.23
SO-11055,2026-08-02 06:19,paid,EUR,163.70
SO-10141,2026-08-02 06:22,paid,EUR,17.10
SO-10926,2026-08-02 06:40,paid,EUR,458.85
SO-10984,2026-08-02 07:19,cancelled,EUR,191.33
