payment_id,order_id,paid_at,currency,amount,fee
PY-700001,SO-10947,2026-08-01 09:11,EUR,326.41,4.82
PY-700002,SO-10377,2026-08-01 10:34,EUR,391.34,5.73
PY-700003,SO-10401,2026-08-01 10:56,EUR,375.96,5.51
PY-700004,SO-10882,2026-08-01 11:05,EUR,271.53,4.05
PY-700005,SO-10511,2026-08-01 12:43,EUR,217.74,3.30
PY-700006,SO-10188,2026-08-01 13:26,EUR,219.29,3.32
PY-700007,SO-10126,2026-08-01 14:11,EUR,478.16,6.94
PY-700008,SO-10183,2026-08-01 14:12,EUR,469.96,6.83
PY-700010,SO-10874,2026-08-01 16:19,EUR,139.22,2.20
PY-700009,SO-10692,2026-08-01 16:33,EUR,320.26,4.73
PY-700011,SO-10629,2026-08-01 16:56,EUR,428.50,6.25
PY-700012,SO-10755,2026-08-01 16:57,EUR,65.58,1.17
PY-700014,SO-10554,2026-08-01 18:05,EUR,404.77,5.92
PY-700015,SO-11086,2026-08-01 18:15,EUR,266.70,3.98
PY-700013,SO-10458,2026-08-01 18:26,EUR,81.89,1.40
PY-700016,SO-10787,2026-08-01 18:49,EUR,201.79,3.08
PY-700017,SO-10999,2026-08-01 19:41,EUR,133.70,2.12
PY-700019,SO-10427,2026-08-01 19:46,EUR,252.46,3.78
PY-700018,SO-10101,2026-08-01 20:04,EUR,325.45,4.81
PY-700020,SO-10721,2026-08-01 20:27,EUR,399.36,5.84
PY-700021,SO-10051,2026-08-01 20:44,EUR,349.37,5.14
PY-700022,SO-11194,2026-08-01 21:45,EUR,127.44,2.03
PY-700023,SO-10349,2026-08-01 21:50,EUR,415.24,6.06
PY-700024,SO-10579,2026-08-02 00:27,EUR,321.88,4.76
PY-700026,SO-10627,2026-08-02 01:02,EUR,22.22,0.56
PY-700025,SO-10465,2026-08-02 01:20,EUR,97.78,1.62
PY-700027,SO-10453,2026-08-02 01:25,EUR,466.73,6.78
PY-700028,SO-10650,2026-08-02 02:45,EUR,362.22,5.32
PY-700029,SO-10939,2026-08-02 04:25,EUR,380.13,5.57
PY-700030,SO-10067,2026-08-02 06:32,EUR,333.23,4.92
PY-700031,SO-11055,2026-08-02 06:48,EUR,163.70,2.54
PY-700032,SO-10141,2026-08-02 06:54,EUR,17.10,0.49
PY-700033,SO-10926,2026-08-02 07:17,EUR,458.85,6.67
PY-700034,SO-10087,2026-08-02 08:16,EUR,117.78,1.90
PY-700035,SO-10754,2026-08-02 08:45,EUR,175.02,2.70
PY-700036,SO-10296,2026-08-02 09:43,EUR,80.68,1.38
PY-700037,SO-11130,2026-08-02 10:08,EUR,273.65,4.08
PY-700038,SO-11157,2026-08-02 11:01,EUR,419.91,6.13
PY-700039,SO-10828,2026-08-02 11:50,EUR,412.61,6.03
PY-700040,SO-10383,2026-08-02 12:14,EUR,161.08,2.51
PY-700041,SO-11176,2026-08-02 13:18,EUR,303.14,4.49
PY-700042,SO-10821,2026-08-02 13:18,EUR,342.16,5.04
PY-700043,SO-11076,2026-08-02 13:27,EUR,280.01,4.17
PY-700044,SO-10199,2026-08-02 14:32,EUR,386.35,5.66
PY-700045,SO-10154,2026-08-02 14:41,EUR,223.07,3.37
PY-700046,SO-10266,2026-08-02 14:47,EUR,430.51,6.28
PY-700047,SO-10416,2026-08-02 15:19,EUR,377.10,5.53
PY-700048,SO-10237,2026-08-02 17:46,EUR,436.95,6.37
PY-700049,SO-11021,2026-08-02 19:04,EUR,77.97,1.34
PY-700050,SO-10779,2026-08-02 20:32,EUR,145.58,2.29
PY-700051,SO-10036,2026-08-02 21:09,EUR,342.67,5.05
PY-700052,SO-10796,2026-08-02 23:07,EUR,151.80,2.38
PY-700053,SO-10654,2026-08-02 23:19,EUR,442.45,6.44
PY-700054,SO-11150,2026-08-03 00:21,EUR,193.07,2.95
PY-700055,SO-10370,2026-08-03 00:31,EUR,71.27,1.25
PY-700056,SO-10282,2026-08-03 01:29,EUR,293.32,4.36
PY-700057,SO-11102,2026-08-03 02:50,EUR,303.15,4.49
PY-700058,SO-10567,2026-08-03 04:24,EUR,361.47,5.31
PY-700059,SO-10659,2026-08-03 04:30,EUR,276.69,4.12
PY-700060,SO-10884,2026-08-03 05:38,EUR,207.26,3.15
PY-700061,SO-10026,2026-08-03 07:23,EUR,346.79,5.11
PY-700062,SO-10073,2026-08-03 08:02,EUR,393.22,5.76
PY-700063,SO-10739,2026-08-03 09:40,EUR,383.71,5.62
PY-700064,SO-10735,2026-08-03 10:24,EUR,51.44,0.97
PY-700065,SO-10484,2026-08-03 14:25,EUR,342.99,5.05
PY-700066,SO-10949,2026-08-03 14:33,EUR,462.44,6.72
PY-700067,SO-10197,2026-08-03 14:51,EUR,353.52,5.20
PY-700069,SO-10406,2026-08-03 17:42,EUR,424.05,6.19
PY-700068,SO-10161,2026-08-03 17:44,EUR,213.63,3.24
PY-700070,SO-11002,2026-08-03 18:13,EUR,199.99,3.05
PY-700071,SO-10443,2026-08-03 18:25,EUR,154.09,2.41
PY-700072,SO-10174,2026-08-03 18:36,EUR,340.07,5.01
